x,y,edition_count,geo_tiff_count,tile_id
43,-50,8,8,4943
43,-51,7,7,5043
43,-52,6,6,5143
44,-50,7,7,4944
44,-51,5,5,5044
44,-52,6,6,5144
44,-53,5,5,5244
45,-50,6,6,4945
45,-51,5,5,5045
45,-52,7,7,5145
45,-53,5,5,5245
45,-54,6,6,5345
45,-55,6,6,5445
45,-56,8,8,5545
45,-57,7,7,5645
45,-58,6,6,5745
46,-50,6,6,4946
46,-51,6,6,5046
46,-52,5,5,5146
46,-53,6,6,5246
46,-54,5,5,5346
46,-55,7,7,5446
46,-56,6,6,5546
46,-57,7,7,5646
46,-58,6,6,5746
46,-60,1,1,5946
47,-50,7,7,4947
47,-51,8,8,5047
47,-52,8,8,5147
47,-53,7,7,5247
47,-54,5,5,5347
47,-55,6,6,5447
47,-56,8,5,5547
47,-57,5,4,5647
47,-58,1,1,5747
47,-60,1,1,5947
48,-38,1,1,3748
48,-39,6,6,3848
48,-40,7,7,3948
48,-41,1,1,4048
48,-50,6,6,4948
48,-51,7,7,5048
48,-52,6,6,5148
48,-53,8,8,5248
48,-54,5,5,5348
48,-55,6,6,5448
48,-56,7,7,5548
48,-57,3,3,5648
48,-58,1,1,5748
48,-60,1,1,5948
49,-38,1,1,3749
49,-39,6,6,3849
49,-40,6,6,3949
49,-41,6,6,4049
49,-42,7,7,4149
49,-43,5,5,4249
49,-44,1,1,4349
49,-48,10,9,4749
49,-50,5,5,4949
49,-51,6,6,5049
49,-52,6,6,5149
49,-53,9,9,5249
49,-54,7,7,5349
49,-55,2,2,5449
49,-56,2,2,5549
49,-57,2,2,5649
49,-58,2,2,5749
49,-60,1,1,5949
50,-38,4,4,3750
50,-39,8,8,3850
50,-40,8,7,3950
50,-41,7,7,4050
50,-42,6,6,4150
50,-43,8,8,4250
50,-44,7,7,4350
50,-45,1,1,4450
50,-47,8,8,4650
50,-48,7,6,4750
50,-49,10,9,4850
50,-50,6,6,4950
50,-51,6,6,5050
50,-52,6,6,5150
50,-53,7,7,5250
50,-54,7,7,5350
50,-55,2,2,5450
50,-56,2,2,5550
50,-57,5,5,5650
50,-58,5,5,5750
51,-38,5,5,3751
51,-39,8,8,3851
51,-40,10,10,3951
51,-41,6,6,4051
51,-42,8,8,4151
51,-43,6,5,4251
51,-44,7,7,4351
51,-45,8,8,4451
51,-46,10,10,4551
51,-47,9,9,4651
51,-48,9,8,4751
51,-49,7,7,4851
51,-50,6,6,4951
51,-51,7,7,5051
51,-52,4,4,5151
51,-53,4,4,5251
51,-54,9,9,5351
51,-55,5,5,5451
51,-56,7,7,5551
51,-57,5,5,5651
51,-58,4,4,5751
51,-59,4,4,5851
51,-60,5,5,5951
51,-61,6,6,6051
52,-36,6,6,3552
52,-37,5,5,3652
52,-38,7,7,3752
52,-39,8,8,3852
52,-40,9,9,3952
52,-41,8,8,4052
52,-42,9,9,4152
52,-43,9,9,4252
52,-44,13,12,4352
52,-45,9,9,4452
52,-46,9,9,4552
52,-47,12,12,4652
52,-48,9,9,4752
52,-49,8,8,4852
52,-50,5,5,4952
52,-51,8,8,5052
52,-52,5,5,5152
52,-53,6,6,5252
52,-54,7,7,5352
52,-55,8,8,5452
52,-56,5,5,5552
52,-57,6,6,5652
52,-58,5,5,5752
52,-59,4,4,5852
52,-60,4,4,5952
52,-61,4,4,6052
52,-62,3,3,6152
53,-36,5,5,3553
53,-37,8,8,3653
53,-38,6,6,3753
53,-39,9,9,3853
53,-40,8,8,3953
53,-41,8,8,4053
53,-42,7,7,4153
53,-43,7,7,4253
53,-44,7,7,4353
53,-45,12,12,4453
53,-46,9,9,4553
53,-47,10,10,4653
53,-48,9,8,4753
53,-49,8,8,4853
53,-50,7,7,4953
53,-51,6,6,5053
53,-52,6,6,5153
53,-53,5,5,5253
53,-54,6,6,5353
53,-55,7,7,5453
53,-56,5,5,5553
53,-57,6,6,5653
53,-58,4,4,5753
53,-59,3,3,5853
53,-60,6,6,5953
53,-61,5,5,6053
53,-62,4,4,6153
53,-63,5,5,6253
53,-64,3,3,6353
54,-36,5,5,3554
54,-37,8,8,3654
54,-38,6,6,3754
54,-39,9,7,3854
54,-40,9,9,3954
