x,y,name
43,-50,4943
43,-51,5043
43,-52,5143
44,-50,4944
44,-51,5044
44,-52,5144
44,-53,5244
45,-50,4945
45,-51,5045
45,-52,5145
45,-53,5245
45,-54,5345
45,-55,5445
45,-56,5545
45,-57,5645
45,-58,5745
46,-50,4946
46,-51,5046
46,-52,5146
46,-53,5246
46,-54,5346
46,-55,5446
46,-56,5546
46,-57,5646
46,-58,5746
46,-60,5946
47,-50,4947
47,-51,5047
47,-52,5147
47,-53,5247
47,-54,5347
47,-55,5447
47,-56,5547
47,-57,5647
47,-58,5747
47,-60,5947
48,-38,3748
48,-39,3848
48,-40,3948
48,-41,4048
48,-50,4948
48,-51,5048
48,-52,5148
48,-53,5248
48,-54,5348
48,-55,5448
48,-56,5548
48,-57,5648
48,-58,5748
48,-60,5948
49,-38,3749
49,-39,3849
49,-40,3949
49,-41,4049
49,-42,4149
49,-43,4249
49,-44,4349
49,-48,4749
49,-50,4949
49,-51,5049
49,-52,5149
49,-53,5249
49,-54,5349
49,-55,5449
49,-56,5549
49,-57,5649
49,-58,5749
49,-60,5949
50,-38,3750
50,-39,3850
50,-40,3950
50,-41,4050
50,-42,4150
50,-43,4250
50,-44,4350
50,-45,4450
50,-47,4650
50,-48,4750
50,-49,4850
50,-50,4950
50,-51,5050
50,-52,5150
50,-53,5250
50,-54,5350
50,-55,5450
50,-56,5550
50,-57,5650
50,-58,5750
51,-38,3751
51,-39,3851
51,-40,3951
51,-41,4051
51,-42,4151
51,-43,4251
51,-44,4351
51,-45,4451
51,-46,4551
51,-47,4651
51,-48,4751
51,-49,4851
51,-50,4951
51,-51,5051
51,-52,5151
51,-53,5251
51,-54,5351
51,-55,5451
51,-56,5551
51,-57,5651
51,-58,5751
51,-59,5851
51,-60,5951
51,-61,6051
52,-36,3552
52,-37,3652
52,-38,3752
52,-39,3852
52,-40,3952
52,-41,4052
52,-42,4152
52,-43,4252
52,-44,4352
52,-45,4452
52,-46,4552
52,-47,4652
52,-48,4752
52,-49,4852
52,-50,4952
52,-51,5052
52,-52,5152
52,-53,5252
52,-54,5352
52,-55,5452
52,-56,5552
52,-57,5652
52,-58,5752
52,-59,5852
52,-60,5952
52,-61,6052
52,-62,6152
53,-36,3553
53,-37,3653
53,-38,3753
53,-39,3853
53,-40,3953
53,-41,4053
53,-42,4153
53,-43,4253
53,-44,4353
53,-45,4453
53,-46,4553
53,-47,4653
53,-48,4753
53,-49,4853
53,-50,4953
53,-51,5053
53,-52,5153
53,-53,5253
53,-54,5353
53,-55,5453
53,-56,5553
53,-57,5653
53,-58,5753
53,-59,5853
53,-60,5953
53,-61,6053
53,-62,6153
53,-63,6253
53,-64,6353
54,-36,3554
54,-37,3654
54,-38,3754
54,-39,3854
54,-40,3954
54,-41,4054
54,-42,4154
54,-43,4254
54,-44,4354
54,-45,4454
54,-46,4554
54,-47,4654
54,-48,4754
54,-49,4854
54,-50,4954
54,-51,5054
54,-52,5154
54,-53,5254
54,-54,5354
54,-55,5454
54,-56,5554
54,-57,5654
54,-58,5754
54,-59,5854
54,-60,5954
54,-61,6054
54,-62,6154
54,-63,6254
54,-64,6354
54,-65,6454
55,-37,3655
55,-38,3755
55,-39,3855
55,-40,3955
55,-41,4055
55,-42,4155
55,-43,4255
55,-44,4355
55,-45,4455
55,-46,4555
55,-47,4655
55,-48,4755
55,-49,4855
55,-50,4955
55,-51,5055
55,-52,5155
55,-53,5255
55,-54,5355
55,-55,5455
55,-56,5555
55,-57,5655
55,-58,5755
55,-59,5855
55,-60,5955
55,-61,6055
55,-62,6155
55,-63,6255
55,-64,6355
55,-65,6455
55,-66,6555
55,-68,6755
56,-38,3756
56,-39,3856
56,-40,3956
56,-41,4056
56,-42,4156
56,-43,4256
56,-44,4356
56,-45,4456
56,-46,4556
56,-47,4656
56,-48,4756
56,-49,4856
56,-50,4956
56,-51,5056
56,-52,5156
56,-53,5256
56,-54,5356
56,-55,5456
56,-56,5556
56,-57,5656
56,-58,5756
56,-59,5856
